TaxID,ScientificName,Species,Subspecies,CheckpointName
192009,Fusarium_sterilihyphosum,Fusarium sterilihyphosum,,checkpoints7
192010,Fusarium_mangiferae,Fusarium mangiferae,,checkpoints7
192011,Cryptococcus_neoformans_x_Cryptococcus_deneoformans,Cryptococcus neoformans x Cryptococcus deneoformans,,checkpoints7
192012,Mikania_micrantha,Mikania micrantha,,checkpoints8
1920322,Grimmia_atrata,Grimmia atrata,,checkpoints8
192045,Musa_beccarii,Musa beccarii,,checkpoints8
1920719,Apostasia_ramifera,Apostasia ramifera,,checkpoints8
1920933,Pertusariales_sp.,Pertusariales sp.,,checkpoints7
1920939,Tremellales_sp.,Tremellales sp.,,checkpoints7
1921484,Charidia_lucaria,Charidia lucaria,,checkpoints5
1921488,Haemactis_sanguinalis,Haemactis sanguinalis,,checkpoints5
1921599,Pseudopithomyces_maydicus,Pseudopithomyces maydicus,,checkpoints7
1921600,Pseudopithomyces_palmicola,Pseudopithomyces palmicola,,checkpoints7
192188,Grapholita_molesta,Grapholita molesta,,checkpoints5
192191,Pandemis_heparana,Pandemis heparana,,checkpoints5
1922239,Ganaspis_brasiliensis,Ganaspis brasiliensis,,checkpoints5
192259,Genlisea_aurea,Genlisea aurea,,checkpoints8
192269,Pinguicula_moranensis,Pinguicula moranensis,,checkpoints8
192314,Utricularia_reniformis,Utricularia reniformis,,checkpoints8
192382,Monochamus_alternatus,Monochamus alternatus,,checkpoints5
1923959,Trinorchestia_longiramus,Trinorchestia longiramus,,checkpoints5
1923975,Pancytospora_philotis,Pancytospora philotis,,checkpoints7
192399,Eucalyptus_grandis_x_Eucalyptus_urophylla,Eucalyptus grandis x Eucalyptus urophylla,,checkpoints8
192404,Sturnira_hondurensis,Sturnira hondurensis,,checkpoints1
192464,Phthorimaea_operculella,Phthorimaea operculella,,checkpoints5
192523,Agaricus_bisporus_var._bisporus,Agaricus bisporus,,checkpoints7
192524,Agaricus_bisporus_var._burnettii,Agaricus bisporus,,checkpoints7
1926196,Meta_bourneti,Meta bourneti,,checkpoints5
1926264,Clonostachys_chloroleuca,Clonostachys chloroleuca,,checkpoints7
1926583,Hanseniaspora_jakobsenii,Hanseniaspora jakobsenii,,checkpoints7
192751,Osteocephalus_oophagus,Osteocephalus oophagus,,checkpoints4
1927788,Annulohypoxylon_maeteangense,Annulohypoxylon maeteangense,,checkpoints7
1928478,Aureobasidium_sp._FSWF8-4,Aureobasidium sp. FSWF8-4,,checkpoints7
1928479,Rhodotorula_sp._FNED7-22,Rhodotorula sp. FNED7-22,,checkpoints7
192873,Elanoides_forficatus,Elanoides forficatus,,checkpoints3
1928866,Leodice_harassii,Leodice harassii,,checkpoints6
1928916,Citrus_clementina_x_Citrus_x_tangelo,Citrus clementina x Citrus x tangelo,,checkpoints8
1929007,Acropora_awi,Acropora awi,,checkpoints6
192920,Bugulina_stolonifera,Bugulina stolonifera,,checkpoints6
1929756,Desarmillaria_tabescens,Desarmillaria tabescens,,checkpoints7
193005,Aquila_nipalensis,Aquila nipalensis,,checkpoints3
1930190,Suillus_alpinus,Suillus alpinus,,checkpoints7
1930201,Diaporthe_caatingaensis,Diaporthe caatingaensis,,checkpoints7
1930691,Lipomyces_yamanashiensis,Lipomyces yamanashiensis,,checkpoints7
1930695,Cystobasidium_ongulense,Cystobasidium ongulense,,checkpoints7
1930696,Cystobasidium_tubakii,Cystobasidium tubakii,,checkpoints7
