TaxID,ScientificName,ParentTaxID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies
113103,Sogatella_furcifera,113102,Metazoa,Arthropoda,Insecta,Hemiptera,Delphacidae,Sogatella,Sogatella furcifera,
113115,Rhinopomastus_cyanomelas,113114,Metazoa,Chordata,Aves,Bucerotiformes,Rhinopomastidae,Rhinopomastus,Rhinopomastus cyanomelas,
1131402,Trematocara_nigrifrons,158781,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Trematocara,Trematocara nigrifrons,
1131437,Terebella_lapidaria,547540,Metazoa,Annelida,Polychaeta,Terebellida,Terebellidae,Terebella,Terebella lapidaria,
1131473,Thermoascus_thermophilus,5086,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Thermoascaceae,Thermoascus,Thermoascus thermophilus,
1131482,Penicillium_brefeldianum,5073,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium brefeldianum,
1131562,Penicillium_pancosmium,5073,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium pancosmium,
1131564,Penicillium_cosmopolitanum,5073,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium cosmopolitanum,
1131581,Penicillium_argentinense,5073,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium argentinense,
1131652,Talaromyces_proteolyticus,2752543,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces proteolyticus,
113189,Phoeniculus_purpureus,113099,Metazoa,Chordata,Aves,Bucerotiformes,Phoeniculidae,Phoeniculus,Phoeniculus purpureus,
1131913,Colletotrichum_viniferum,2707338,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum viniferum,
1132040,Agriotes_mancus,292457,Metazoa,Arthropoda,Insecta,Coleoptera,Elateridae,Agriotes,Agriotes mancus,
1132042,Ctenicera_cuprea,221094,Metazoa,Arthropoda,Insecta,Coleoptera,Elateridae,Ctenicera,Ctenicera cuprea,
1132043,Hemicrepidius_hirtus,219495,Metazoa,Arthropoda,Insecta,Coleoptera,Elateridae,Hemicrepidius,Hemicrepidius hirtus,
1132045,Limonius_californicus,341340,Metazoa,Arthropoda,Insecta,Coleoptera,Elateridae,Limonius,Limonius californicus,
1132094,Sicyos_chiriquensis,64231,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Sicyos,Sicyos chiriquensis,
1132095,Frantzia_panamensis,515859,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Frantzia,Frantzia panamensis,
1132097,Frantzia_venosa,515859,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Frantzia,Frantzia venosa,
1132098,Frantzia_villosa,515859,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Frantzia,Frantzia villosa,
113210,Capsicum_pubescens,4071,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,Capsicum pubescens,
1132104,Sechiopsis_diptera,386225,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Sechiopsis,Sechiopsis diptera,
1132105,Sechiopsis_laciniata,386225,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Sechiopsis,Sechiopsis laciniata,
1132106,Sechiopsis_triqueter,386225,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Sechiopsis,Sechiopsis triqueter,
1132107,Sechium_chinantlense,184139,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Sechium,Sechium chinantlense,
1132108,Sechium_compositum,184139,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Sechium,Sechium compositum,
1132109,Sechium_hintonii,184139,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Sechium,Sechium hintonii,
1132111,Sicyocaulis_pentagonus,1132110,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Sicyocaulis,Sicyocaulis pentagonus,
1132118,Sicyos_bulbosus,64231,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Sicyos,Sicyos bulbosus,
1132125,Sicyos_galeottii,64231,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Sicyos,Sicyos galeottii,
1132129,Sicyos_hispidus,64231,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Sicyos,Sicyos hispidus,
1132131,Sicyos_lanceoloideus,64231,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Sicyos,Sicyos lanceoloideus,
1132132,Sicyos_lasiocephalus,64231,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Sicyos,Sicyos lasiocephalus,
1132137,Sicyos_macrophyllus,64231,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Sicyos,Sicyos macrophyllus,
113226,Pseudocercospora_musae,131324,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora musae,
1132390,Coprinopsis_cinerea_AmutBmut_pab1-1,5346,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis cinerea,
1132637,Penicillium_atrosanguineum,5073,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium atrosanguineum,
